authors,title,venue,year,note
"[Goff, K. A.](g), M. F. Oldfather, J. Nachlinger, B. Smithers, M. J. Koontz, J. Bishop, C. Bishop, M. T. Burke, and [S. N. Sheth](self)","Limited directional change in mountaintop plant communities over 19 years in the Sierra Nevada and Great Basin, U.S.A.","MtnClim, Lake Tahoe, CA (presented by M. F. Oldfather)",2024,
"Waits, J., [S. Sheth](self), and L. Flores-Renter\'{i}a",Phenological variation and evolution across space and time in in \emph{Erythranthe cardinalis}.,"Ecological Society of America, Long Beach, CA (presented by J. Waits)",2024,
"Wilborn-Pilotte, O., E. Cook, K. Kutella, [S. Sheth](self), and J. Diez",Pollination strategy as an evolutionary response to changing climate in \emph{Erythranthe cardinalis}.,"Ecological Society of America, Long Beach, CA (presented by O. Wilborn-Pilotte)",2024,
"Anstett, D., J. Anstett, J., [S. Sheth](self), D. Moxley, M. Jahani, K. Huang, M. Todesco, R. Jordan, L. Rieseberg, A. Angert",Does genetic offset predict population decline?,"Ecological Society of America, Portland, OR (presented by D. Anstett)",2023,
"Anstett, D., J. Anstett, J., [S. Sheth](self), D. Moxley, M. Jahani, K. Huang, M. Todesco, R. Jordan, L. Rieseberg, A. Angert",Does genetic offset predict population decline?,"Evolution, Albuquerque, NM (presented by D. Anstett)",2023,
"Cheng, B., M. Sasaki, J. M. Barley, S. Gignoux-Wolfsohn, C. G. Hays, M. W. Kelly, A. B. Putnam, [S. N. Sheth](self), and A. R. Villeneuve",Greater local adaptation of thermal limits within marine than terrestrial species,"Benthic Ecology Meeting, Miami, FL (presented by B. Cheng)",2023,
"[Goff, K. A.](g), M. F. Oldfather, J. Nachlinger, B. Smithers, M. J. Koontz, J. Bishop, C. Bishop, and [S. N. Sheth](self)","Plant community responses to climate change over an 18-year period on alpine summits in the Sierra Nevada and Great Basin, USA.","MtnClim, Gothic, CO (poster presented by K. A. Goff)",2022,
"Lee-Yaw, J. A., McCune J. L., Pironon, S. and [S. N. Sheth](self)",How well do species distribution models predict parameters of interest in population biology?,"Ecological Society of America; Montreal, Canada (presented by J. Lee-Yaw)",2022,
"Preston, J. C, [R. Wooliver](p), H. Driscoll, [A. Coughlin](t), and [S. N. Sheth](self)",Spatial variation in high temperature-regulated gene expression predicts evolution of plasticity with climate change in the scarlet monkeyflower.,Botany (virtual; presented by J. C. Preston),2021,
"Olliff Yang, R. L., [S. N. Sheth](self), and D. Ackerly","Population differentiation in flowering time in \emph{Lasthenia gracilis}, a widespread annual forb.",Botany (virtual; presented by R. L. Olliff Yang),2021,
"Smithers, B. V., M. F. Oldfather, M. J. Koontz, J. Bishop, C. Bishop, J. Nachlinger, and [S. N. Sheth](self)",Community turnover by composition and climate affinity across scales in an alpine system.,Ecological Society of America (virtual; presented by B. Smithers),2020,
"[Wooliver, R.](p), [E.E. Vtipil](g), and [S.N. Sheth](self)",A call for unified study of plant thermal performance in a warming world.,Botany (virtual; presented by R. Wooliver),2020,
"[Querns, A.](g), [R. Wooliver](p), M. Vallejo-Mar\'in, and [S.N. Sheth](self)",The evolution of thermal performance in native and invasive populations of \emph{Mimulus guttatus}.,Botany (virtual; poster presented by A. Querns),2020,Winner of Best Graduate Student Poster in Ecology
"[Wooliver, R.](p), S. Tittes, and [S.N. Sheth](self)",Can plant thermal tolerance evolve under climate change? A comparison of central and edge populations.,"Southeast Population Ecology and Evolutionary Genetics, Clemson, SC (presented by R. Wooliver)",2019,
"[Vtipil, E.E.](u,g) and [S.N. Sheth](self)",The evolution of flowering time in response to climate change in \emph{Erythranthe cardinalis}.,"Southeast Population Ecology and Evolutionary Genetics, Clemson, SC (poster presented by E. Vtipil)",2019,Winner of Second Best Graduate Student Poster
"Kulbaba, M., [S.N. Sheth](self), R.E. Pain, V.M. Eckhart, and R.G. Shaw",Adaptive potential and realized changes in fitness in natural populations.,"Society for the Study of Evolution, Montpellier, France (poster presented by M. Kulbaba)",2018,
"[Sheth, S.N.](self) and A.L. Angert",Demographic compensation does not rescue \textit{Erythranthe cardinalis} populations at the southern edge of the species range.,"Ecological Society of America, Portland, OR",2017,
"Kulbaba, M., R.E. Pain, V.M. Eckhart, [S.N. Sheth](self), and R.G. Shaw",The immediate capacity for adaptation and its realization in natural plant populations.,"International Botanical Congress, Shenzhen, China",2017,
"[Sheth, S.N.](self), M. Kulbaba, R.E. Pain, and R.G. Shaw",Expression of additive genetic variance for fitness in a population of partridge pea grown in two field sites.,"Society for the Study of Evolution, Portland, OR (presented by R.G. Shaw)",2017,
"[Sheth, S.N.](self), W.A. Freyman, B.G. Baldwin, and D.D. Ackerly",Relationships among rates of climatic niche evolution and diversification.,"Society for the Study of Evolution, Austin, TX (poster)",2016,
"[Sheth, S.N.](self) and A.L. Angert",Artificial selection reveals high genetic variation in phenology at the trailing edge of a species range.,"Ecological Society of America, Baltimore, MD",2015,
"[Sheth, S.N.](self) and A.L. Angert",Does a jack-of-all-temperatures have a large geographic range?,"Society for the Study of Evolution, Snowbird, UT",2013,
"[Sheth, S.N.](self), I. Jim\'enez, and A.L. Angert",Effects of niche properties on variation in geographic range size among species of western North American monkeyflowers.,"Ecological Society of America, Portland, OR",2012,
"[Sheth, S.N.](self), L.G. Lohmann, T. Distler, and I. Jim\'enez",The Wallacean shortfall: bias in estimates of geographic range size.,"Botanical Society of America, St. Louis, MO (presented by I. Jim\'enez)",2011,
"[Sheth, S.N.](self) and A.L. Angert",Ecological niche attributes and geographic range size in western North American monkeyflowers.,"Society for the Study of Evolution, Portland, OR",2010,
"[Sheth, S.N.](self), L.G. Lohmann, I. Jim\'enez, and T. Consiglio",Riesgo de extinci\'on en Bignonieae (Bignoniaceae) estimado con datos de herbario.,"Congreso Latinoamericano de Bot\'anica. Santo Domingo, Dominican Republic (presented by L. G. Lohmann)",2006,
